
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008617                       # Number of seconds simulated (Second)
simTicks                                   8616817224                       # Number of ticks simulated (Tick)
finalTick                                  8616817224                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    306.69                       # Real time elapsed on the host (Second)
hostTickRate                                 28095974                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     744276                       # Number of bytes of host memory used (Byte)
simInsts                                     54456441                       # Number of instructions simulated (Count)
simOps                                       89561072                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   177556                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     292016                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        25702500                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       67452582                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1281                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      67259885                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  4138                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              951906                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           991875                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                567                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           25523385                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.635226                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.613167                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 10023689     39.27%     39.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  1003275      3.93%     43.20% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  1997852      7.83%     51.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  2914156     11.42%     62.45% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  2738237     10.73%     73.18% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  2167495      8.49%     81.67% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  2199867      8.62%     90.29% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  1301699      5.10%     95.39% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  1177115      4.61%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             25523385                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 215752     78.21%     78.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     78.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     78.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     78.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     78.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     78.21% # attempts to use FU when none available (Count)
