
---------- Begin Simulation Statistics ----------
simSeconds                                   0.067119                       # Number of seconds simulated (Second)
simTicks                                  67118586561                       # Number of ticks simulated (Tick)
finalTick                                 67118586561                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1796.96                       # Real time elapsed on the host (Second)
hostTickRate                                 37351279                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     748064                       # Number of bytes of host memory used (Byte)
simInsts                                    254019508                       # Number of instructions simulated (Count)
simOps                                      437757420                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   141361                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     243610                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       201318369                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      219273396                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1722                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     219188062                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   239                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              388551                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           311730                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                912                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          201168124                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.089577                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.441345                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                100723733     50.07%     50.07% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 36993320     18.39%     68.46% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 34735207     17.27%     85.73% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 14210890      7.06%     92.79% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  6935805      3.45%     96.24% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  4325291      2.15%     98.39% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  2316911      1.15%     99.54% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   595219      0.30%     99.84% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   331748      0.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            201168124                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 317269     99.67%     99.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     99.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     99.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     99.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     99.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     99.67% # attempts to use FU when none available (Count)
